FuncionarioChave;Data;DiaSemana;Codigo;Fonte;Observacao
F955;2025-01-09;QUI;HO;STD_2025;
F941;2025-01-09;QUI;HO;STD_2025;
NSZD;2025-01-09;QUI;EM;STD_2025;
YRDR;2025-01-09;QUI;TR;STD_2025;
FN2K;2025-01-09;QUI;B;STD_2025;
XBWR;2025-01-09;QUI;B;STD_2025;
FVXU;2025-01-09;QUI;B;STD_2025;
FW0R;2025-01-09;QUI;B;STD_2025;
WS3M;2025-01-09;QUI;F;STD_2025;
DAGD;2025-01-09;QUI;B;STD_2025;
F08F;2025-01-09;QUI;B;STD_2025;
F8CK;2025-01-09;QUI;SGP;STD_2025;
DAJU;2025-01-09;QUI;TR;STD_2025;
FW0F;2025-01-09;QUI;B;STD_2025;
URON;2025-01-09;QUI;F;STD_2025;
FW4D;2025-01-09;QUI;B;STD_2025;
NSYK;2025-01-09;QUI;B;STD_2025;
RV0N;2025-01-09;QUI;B;STD_2025;
FW1B;2025-01-09;QUI;B;STD_2025;
M37G;2025-01-09;QUI;O;STD_2025;
F8ZW;2025-01-09;QUI;B;STD_2025;
URI2;2025-01-09;QUI;HO;STD_2025;
URSS;2025-01-09;QUI;SGP;STD_2025;
FVY9;2025-01-09;QUI;B;STD_2025;
FVVP;2025-01-09;QUI;B;STD_2025;
NVPM;2025-01-09;QUI;B;STD_2025;
GMBD;2025-01-09;QUI;B;STD_2025;
URFB;2025-01-09;QUI;F;STD_2025;
KAZZ;2025-01-09;QUI;O;STD_2025;
FMKI;2025-01-09;QUI;B;STD_2025;
RLG3;2025-01-09;QUI;V;STD_2025;
F9SG;2025-01-09;QUI;B;STD_2025;
F8ML;2025-01-09;QUI;F;STD_2025;
URJ1;2025-01-09;QUI;B;STD_2025;
L1MJ;2025-01-09;QUI;O;STD_2025;
WUYB;2025-01-09;QUI;YNT;STD_2025;
MOP3;2025-01-09;QUI;B;STD_2025;
N5VI;2025-01-09;QUI;B;STD_2025;
LPLK;2025-01-09;QUI;B;STD_2025;
DEZ/25 ???;2025-01-09;QUI;PT;STD_2025;
EKID;2025-01-09;QUI;HO;STD_2025;
FW6C;2025-01-09;QUI;B;STD_2025;
FW9S;2025-01-09;QUI;B;STD_2025;
WU3X;2025-01-09;QUI;B;STD_2025;
KEFZ;2025-01-09;QUI;O;STD_2025;
B25O;2025-01-09;QUI;B;STD_2025;
PL7B;2025-01-09;QUI;B;STD_2025;
URNN;2025-01-09;QUI;HO;STD_2025;
URUG;2025-01-09;QUI;F;STD_2025;
XDDH;2025-01-09;QUI;F;STD_2025;
URVX;2025-01-09;QUI;F;STD_2025;
EK5H;2025-01-10;SEX;HO;STD_2025;
UPDJ;2025-01-10;SEX;HO;STD_2025;
U4XE;2025-01-10;SEX;YNT;STD_2025;
YMOF;2025-01-10;SEX;HO;STD_2025;
TFBN;2025-01-10;SEX;HO;STD_2025;
U4OB;2025-01-10;SEX;YNT;STD_2025;
U4IC;2025-01-10;SEX;B;STD_2025;
CX1A;2025-01-10;SEX;F;STD_2025;
URPQ;2025-01-10;SEX;HO;STD_2025;
BHQ1;2025-01-10;SEX;HO;STD_2025;
U3PE;2025-01-10;SEX;F;STD_2025;
URGU;2025-01-10;SEX;HO;STD_2025;
B5QM;2025-01-10;SEX;F;STD_2025;
FMB1;2025-01-10;SEX;YNT;STD_2025;
CXLT;2025-01-10;SEX;HO;STD_2025;
AJP2;2025-01-10;SEX;B;STD_2025;
D2HS;2025-01-10;SEX;HO;STD_2025;
JMU9;2025-01-10;SEX;B;STD_2025;
WVY4;2025-01-10;SEX;HO;STD_2025;
FRCF;2025-01-10;SEX;YNT;STD_2025;
YT3I;2025-01-10;SEX;HO;STD_2025;
NVBN;2025-01-10;SEX;YNT;STD_2025;
B1S8;2025-01-10;SEX;EM;STD_2025;
YRAJ;2025-01-10;SEX;F;STD_2025;
LNIG;2025-01-10;SEX;HO;STD_2025;
SLDR;2025-01-10;SEX;HO;STD_2025;
NSAZ;2025-01-10;SEX;F;STD_2025;
FRD9;2025-01-10;SEX;YNT;STD_2025;
WV8P;2025-01-10;SEX;F;STD_2025;
M37R;2025-01-10;SEX;B;STD_2025;
FRA2;2025-01-10;SEX;HO;STD_2025;
KB1O;2025-01-10;SEX;SGP;STD_2025;
UREQ;2025-01-10;SEX;F;STD_2025;
BTKP;2025-01-10;SEX;YNT;STD_2025;
NS0U;2025-01-10;SEX;F;STD_2025;
B1WH;2025-01-10;SEX;A;STD_2025;
F8TR;2025-01-10;SEX;HO;STD_2025;
U36Q;2025-01-10;SEX;YNT;STD_2025;
NA2O;2025-01-10;SEX;F;STD_2025;
N7G5;2025-01-10;SEX;O;STD_2025;
F955;2025-01-10;SEX;HO;STD_2025;
F941;2025-01-10;SEX;HO;STD_2025;
NSZD;2025-01-10;SEX;EM;STD_2025;
YRDR;2025-01-10;SEX;HO;STD_2025;
FN2K;2025-01-10;SEX;HO;STD_2025;
XBWR;2025-01-10;SEX;HO;STD_2025;
FVXU;2025-01-10;SEX;HO;STD_2025;
FW0R;2025-01-10;SEX;HO;STD_2025;
WS3M;2025-01-10;SEX;F;STD_2025;
DAGD;2025-01-10;SEX;HO;STD_2025;
F08F;2025-01-10;SEX;HO;STD_2025;
F8CK;2025-01-10;SEX;SGP;STD_2025;
DAJU;2025-01-10;SEX;HO;STD_2025;
FW0F;2025-01-10;SEX;HO;STD_2025;
URON;2025-01-10;SEX;F;STD_2025;
FW4D;2025-01-10;SEX;HO;STD_2025;
NSYK;2025-01-10;SEX;B;STD_2025;
RV0N;2025-01-10;SEX;B;STD_2025;
FW1B;2025-01-10;SEX;HO;STD_2025;
M37G;2025-01-10;SEX;O;STD_2025;
F8ZW;2025-01-10;SEX;HO;STD_2025;
URI2;2025-01-10;SEX;HO;STD_2025;
URSS;2025-01-10;SEX;SGP;STD_2025;
FVY9;2025-01-10;SEX;HO;STD_2025;
FVVP;2025-01-10;SEX;HO;STD_2025;
NVPM;2025-01-10;SEX;HO;STD_2025;
GMBD;2025-01-10;SEX;HO;STD_2025;
URFB;2025-01-10;SEX;F;STD_2025;
KAZZ;2025-01-10;SEX;O;STD_2025;
FMKI;2025-01-10;SEX;B;STD_2025;
RLG3;2025-01-10;SEX;YNT;STD_2025;
F9SG;2025-01-10;SEX;B;STD_2025;
F8ML;2025-01-10;SEX;F;STD_2025;
URJ1;2025-01-10;SEX;B;STD_2025;
L1MJ;2025-01-10;SEX;O;STD_2025;
WUYB;2025-01-10;SEX;YNT;STD_2025;
MOP3;2025-01-10;SEX;HO;STD_2025;
N5VI;2025-01-10;SEX;HO;STD_2025;
LPLK;2025-01-10;SEX;HO;STD_2025;
DEZ/25 ???;2025-01-10;SEX;PT;STD_2025;
EKID;2025-01-10;SEX;HO;STD_2025;
FW6C;2025-01-10;SEX;HO;STD_2025;
FW9S;2025-01-10;SEX;HO;STD_2025;
WU3X;2025-01-10;SEX;HO;STD_2025;
KEFZ;2025-01-10;SEX;O;STD_2025;
B25O;2025-01-10;SEX;B;STD_2025;
PL7B;2025-01-10;SEX;HO;STD_2025;
URNN;2025-01-10;SEX;HO;STD_2025;
URUG;2025-01-10;SEX;F;STD_2025;
XDDH;2025-01-10;SEX;F;STD_2025;
URVX;2025-01-10;SEX;F;STD_2025;
EK5H;2025-01-11;SAB;FS;STD_2025;
UPDJ;2025-01-11;SAB;FS;STD_2025;
U4XE;2025-01-11;SAB;YNT;STD_2025;
YMOF;2025-01-11;SAB;FS;STD_2025;
NSYD;2025-01-11;SAB;FS;STD_2025;
TFBN;2025-01-11;SAB;FS;STD_2025;
U4OB;2025-01-11;SAB;YNT;STD_2025;
U4IC;2025-01-11;SAB;FS;STD_2025;
CX1A;2025-01-11;SAB;F;STD_2025;
URPQ;2025-01-11;SAB;FS;STD_2025;
BHQ1;2025-01-11;SAB;FS;STD_2025;
U3PE;2025-01-11;SAB;F;STD_2025;
U3PX;2025-01-11;SAB;FS;STD_2025;
URGU;2025-01-11;SAB;FS;STD_2025;
BA8N;2025-01-11;SAB;FS;STD_2025;
B5QM;2025-01-11;SAB;F;STD_2025;
BH1E;2025-01-11;SAB;FS;STD_2025;
FMB1;2025-01-11;SAB;YNT;STD_2025;
CXLT;2025-01-11;SAB;FS;STD_2025;
AJP2;2025-01-11;SAB;FS;STD_2025;
D2HS;2025-01-11;SAB;FS;STD_2025;
FIRY;2025-01-11;SAB;FS;STD_2025;
JMU9;2025-01-11;SAB;FS;STD_2025;
WVY4;2025-01-11;SAB;FS;STD_2025;
FRCF;2025-01-11;SAB;YNT;STD_2025;
YT3I;2025-01-11;SAB;FS;STD_2025;
NVBN;2025-01-11;SAB;YNT;STD_2025;
B1S8;2025-01-11;SAB;EM;STD_2025;
YRAJ;2025-01-11;SAB;F;STD_2025;
LNIG;2025-01-11;SAB;FS;STD_2025;
SLDR;2025-01-11;SAB;FS;STD_2025;
NSAZ;2025-01-11;SAB;F;STD_2025;
FRD9;2025-01-11;SAB;YNT;STD_2025;
WV8P;2025-01-11;SAB;FS;STD_2025;
M37R;2025-01-11;SAB;FS;STD_2025;
FRA2;2025-01-11;SAB;FS;STD_2025;
KB1O;2025-01-11;SAB;SGP;STD_2025;
UREQ;2025-01-11;SAB;F;STD_2025;
BTKP;2025-01-11;SAB;YNT;STD_2025;
NS0U;2025-01-11;SAB;F;STD_2025;
B1WH;2025-01-11;SAB;FS;STD_2025;
F8TR;2025-01-11;SAB;FS;STD_2025;
U36Q;2025-01-11;SAB;YNT;STD_2025;
NA2O;2025-01-11;SAB;F;STD_2025;
N7G5;2025-01-11;SAB;O;STD_2025;
F955;2025-01-11;SAB;FS;STD_2025;
F941;2025-01-11;SAB;FS;STD_2025;
NSZD;2025-01-11;SAB;EM;STD_2025;
YRDR;2025-01-11;SAB;FS;STD_2025;
FN2K;2025-01-11;SAB;FS;STD_2025;
XBWR;2025-01-11;SAB;FS;STD_2025;
FVXU;2025-01-11;SAB;FS;STD_2025;
FW0R;2025-01-11;SAB;FS;STD_2025;
WS3M;2025-01-11;SAB;F;STD_2025;
DAGD;2025-01-11;SAB;FS;STD_2025;
F08F;2025-01-11;SAB;FS;STD_2025;
F8CK;2025-01-11;SAB;SGP;STD_2025;
DAJU;2025-01-11;SAB;FS;STD_2025;
FW0F;2025-01-11;SAB;FS;STD_2025;
URON;2025-01-11;SAB;F;STD_2025;
FW4D;2025-01-11;SAB;FS;STD_2025;
NSYK;2025-01-11;SAB;FS;STD_2025;
RV0N;2025-01-11;SAB;FS;STD_2025;
FW1B;2025-01-11;SAB;FS;STD_2025;
M37G;2025-01-11;SAB;O;STD_2025;
F8ZW;2025-01-11;SAB;FS;STD_2025;
URI2;2025-01-11;SAB;FS;STD_2025;
URSS;2025-01-11;SAB;SGP;STD_2025;
FVY9;2025-01-11;SAB;FS;STD_2025;
FVVP;2025-01-11;SAB;FS;STD_2025;
NVPM;2025-01-11;SAB;FS;STD_2025;
NVMJ;2025-01-11;SAB;FS;STD_2025;
GMBD;2025-01-11;SAB;FS;STD_2025;
URFB;2025-01-11;SAB;F;STD_2025;
KAZZ;2025-01-11;SAB;FS;STD_2025;
FMKI;2025-01-11;SAB;FS;STD_2025;
RLG3;2025-01-11;SAB;YNT;STD_2025;
F9SG;2025-01-11;SAB;FS;STD_2025;
F8ML;2025-01-11;SAB;F;STD_2025;
URJ1;2025-01-11;SAB;FS;STD_2025;
L1MJ;2025-01-11;SAB;O;STD_2025;
WUYB;2025-01-11;SAB;YNT;STD_2025;
MOP3;2025-01-11;SAB;FS;STD_2025;
N5VI;2025-01-11;SAB;FS;STD_2025;
LPLK;2025-01-11;SAB;FS;STD_2025;
DEZ/25 ???;2025-01-11;SAB;PT;STD_2025;
EKID;2025-01-11;SAB;FS;STD_2025;
FW6C;2025-01-11;SAB;FS;STD_2025;
FW9S;2025-01-11;SAB;FS;STD_2025;
WU3X;2025-01-11;SAB;FS;STD_2025;
KEFZ;2025-01-11;SAB;O;STD_2025;
B25O;2025-01-11;SAB;FS;STD_2025;
WMFR;2025-01-11;SAB;FS;STD_2025;
PL7B;2025-01-11;SAB;FS;STD_2025;
URNN;2025-01-11;SAB;FS;STD_2025;
URUG;2025-01-11;SAB;F;STD_2025;
XDDH;2025-01-11;SAB;F;STD_2025;
URVX;2025-01-11;SAB;F;STD_2025;
EK5H;2025-01-12;DOM;FS;STD_2025;
UPDJ;2025-01-12;DOM;FS;STD_2025;
U4XE;2025-01-12;DOM;YNT;STD_2025;
YMOF;2025-01-12;DOM;FS;STD_2025;
NSYD;2025-01-12;DOM;FS;STD_2025;
TFBN;2025-01-12;DOM;FS;STD_2025;
U4OB;2025-01-12;DOM;YNT;STD_2025;
U4IC;2025-01-12;DOM;FS;STD_2025;
CX1A;2025-01-12;DOM;F;STD_2025;
URPQ;2025-01-12;DOM;FS;STD_2025;
BHQ1;2025-01-12;DOM;FS;STD_2025;
U3PE;2025-01-12;DOM;F;STD_2025;
U3PX;2025-01-12;DOM;FS;STD_2025;
URGU;2025-01-12;DOM;FS;STD_2025;
BA8N;2025-01-12;DOM;FS;STD_2025;
B5QM;2025-01-12;DOM;F;STD_2025;
BH1E;2025-01-12;DOM;FS;STD_2025;
FMB1;2025-01-12;DOM;YNT;STD_2025;
CXLT;2025-01-12;DOM;FS;STD_2025;
AJP2;2025-01-12;DOM;FS;STD_2025;
D2HS;2025-01-12;DOM;FS;STD_2025;
FIRY;2025-01-12;DOM;FS;STD_2025;
JMU9;2025-01-12;DOM;FS;STD_2025;
WVY4;2025-01-12;DOM;FS;STD_2025;
FRCF;2025-01-12;DOM;YNT;STD_2025;
YT3I;2025-01-12;DOM;FS;STD_2025;
NVBN;2025-01-12;DOM;YNT;STD_2025;
B1S8;2025-01-12;DOM;EM;STD_2025;
YRAJ;2025-01-12;DOM;F;STD_2025;
LNIG;2025-01-12;DOM;FS;STD_2025;
SLDR;2025-01-12;DOM;FS;STD_2025;
NSAZ;2025-01-12;DOM;F;STD_2025;
FRD9;2025-01-12;DOM;YNT;STD_2025;
WV8P;2025-01-12;DOM;FS;STD_2025;
M37R;2025-01-12;DOM;FS;STD_2025;
FRA2;2025-01-12;DOM;FS;STD_2025;
KB1O;2025-01-12;DOM;SGP;STD_2025;
UREQ;2025-01-12;DOM;F;STD_2025;
BTKP;2025-01-12;DOM;YNT;STD_2025;
NS0U;2025-01-12;DOM;F;STD_2025;
B1WH;2025-01-12;DOM;FS;STD_2025;
F8TR;2025-01-12;DOM;FS;STD_2025;
U36Q;2025-01-12;DOM;YNT;STD_2025;
NA2O;2025-01-12;DOM;F;STD_2025;
N7G5;2025-01-12;DOM;O;STD_2025;
F955;2025-01-12;DOM;EM;STD_2025;
F941;2025-01-12;DOM;FS;STD_2025;
NSZD;2025-01-12;DOM;EM;STD_2025;
YRDR;2025-01-12;DOM;FS;STD_2025;
FN2K;2025-01-12;DOM;FS;STD_2025;
XBWR;2025-01-12;DOM;FS;STD_2025;
FVXU;2025-01-12;DOM;FS;STD_2025;
FW0R;2025-01-12;DOM;FS;STD_2025;
WS3M;2025-01-12;DOM;F;STD_2025;
DAGD;2025-01-12;DOM;FS;STD_2025;
F08F;2025-01-12;DOM;FS;STD_2025;
F8CK;2025-01-12;DOM;SGP;STD_2025;
DAJU;2025-01-12;DOM;FS;STD_2025;
FW0F;2025-01-12;DOM;FS;STD_2025;
URON;2025-01-12;DOM;F;STD_2025;
FW4D;2025-01-12;DOM;FS;STD_2025;
NSYK;2025-01-12;DOM;FS;STD_2025;
RV0N;2025-01-12;DOM;FS;STD_2025;
FW1B;2025-01-12;DOM;FS;STD_2025;
M37G;2025-01-12;DOM;O;STD_2025;
F8ZW;2025-01-12;DOM;FS;STD_2025;
URI2;2025-01-12;DOM;FS;STD_2025;
URSS;2025-01-12;DOM;SGP;STD_2025;
FVY9;2025-01-12;DOM;FS;STD_2025;
FVVP;2025-01-12;DOM;FS;STD_2025;
NVPM;2025-01-12;DOM;FS;STD_2025;
NVMJ;2025-01-12;DOM;FS;STD_2025;
GMBD;2025-01-12;DOM;FS;STD_2025;
URFB;2025-01-12;DOM;F;STD_2025;
KAZZ;2025-01-12;DOM;FS;STD_2025;
FMKI;2025-01-12;DOM;FS;STD_2025;
RLG3;2025-01-12;DOM;YNT;STD_2025;
F9SG;2025-01-12;DOM;FS;STD_2025;
F8ML;2025-01-12;DOM;FS;STD_2025;
URJ1;2025-01-12;DOM;FS;STD_2025;
L1MJ;2025-01-12;DOM;O;STD_2025;
WUYB;2025-01-12;DOM;YNT;STD_2025;
MOP3;2025-01-12;DOM;FS;STD_2025;
N5VI;2025-01-12;DOM;FS;STD_2025;
LPLK;2025-01-12;DOM;FS;STD_2025;
DEZ/25 ???;2025-01-12;DOM;PT;STD_2025;
EKID;2025-01-12;DOM;FS;STD_2025;
FW6C;2025-01-12;DOM;FS;STD_2025;
FW9S;2025-01-12;DOM;FS;STD_2025;
WU3X;2025-01-12;DOM;FS;STD_2025;
KEFZ;2025-01-12;DOM;O;STD_2025;
B25O;2025-01-12;DOM;FS;STD_2025;
WMFR;2025-01-12;DOM;FS;STD_2025;
PL7B;2025-01-12;DOM;FS;STD_2025;
URNN;2025-01-12;DOM;FS;STD_2025;
URUG;2025-01-12;DOM;F;STD_2025;
XDDH;2025-01-12;DOM;F;STD_2025;
URVX;2025-01-12;DOM;F;STD_2025;
EK5H;2025-01-13;SEG;HO;STD_2025;
UPDJ;2025-01-13;SEG;HO;STD_2025;
U4XE;2025-01-13;SEG;YNT;STD_2025;
YMOF;2025-01-13;SEG;HO;STD_2025;
TFBN;2025-01-13;SEG;HO;STD_2025;
U4OB;2025-01-13;SEG;YNT;STD_2025;
U4IC;2025-01-13;SEG;HO;STD_2025;
CX1A;2025-01-13;SEG;F;STD_2025;
URPQ;2025-01-13;SEG;HO;STD_2025;
BHQ1;2025-01-13;SEG;HO;STD_2025;
U3PE;2025-01-13;SEG;F;STD_2025;
URGU;2025-01-13;SEG;B;STD_2025;
B5QM;2025-01-13;SEG;F;STD_2025;
FMB1;2025-01-13;SEG;YNT;STD_2025;
CXLT;2025-01-13;SEG;HO;STD_2025;
AJP2;2025-01-13;SEG;HO;STD_2025;
D2HS;2025-01-13;SEG;B;STD_2025;
JMU9;2025-01-13;SEG;HO;STD_2025;
WVY4;2025-01-13;SEG;B;STD_2025;
FRCF;2025-01-13;SEG;YNT;STD_2025;
YT3I;2025-01-13;SEG;HO;STD_2025;
NVBN;2025-01-13;SEG;YNT;STD_2025;
B1S8;2025-01-13;SEG;EM;STD_2025;
YRAJ;2025-01-13;SEG;F;STD_2025;
LNIG;2025-01-13;SEG;B;STD_2025;
SLDR;2025-01-13;SEG;HO;STD_2025;
NSAZ;2025-01-13;SEG;F;STD_2025;
FRD9;2025-01-13;SEG;YNT;STD_2025;
WV8P;2025-01-13;SEG;HO;STD_2025;
M37R;2025-01-13;SEG;HO;STD_2025;
FRA2;2025-01-13;SEG;B;STD_2025;
KB1O;2025-01-13;SEG;SGP;STD_2025;
UREQ;2025-01-13;SEG;F;STD_2025;
BTKP;2025-01-13;SEG;YNT;STD_2025;
NS0U;2025-01-13;SEG;F;STD_2025;
B1WH;2025-01-13;SEG;A;STD_2025;
F8TR;2025-01-13;SEG;HO;STD_2025;
U36Q;2025-01-13;SEG;YNT;STD_2025;
NA2O;2025-01-13;SEG;F;STD_2025;
N7G5;2025-01-13;SEG;O;STD_2025;
F955;2025-01-13;SEG;EM;STD_2025;
F941;2025-01-13;SEG;HO;STD_2025;
NSZD;2025-01-13;SEG;EM;STD_2025;
YRDR;2025-01-13;SEG;HO;STD_2025;
FN2K;2025-01-13;SEG;HO;STD_2025;
XBWR;2025-01-13;SEG;B;STD_2025;
FVXU;2025-01-13;SEG;HO;STD_2025;
FW0R;2025-01-13;SEG;HO;STD_2025;
WS3M;2025-01-13;SEG;F;STD_2025;
DAGD;2025-01-13;SEG;HO;STD_2025;
F08F;2025-01-13;SEG;HO;STD_2025;
F8CK;2025-01-13;SEG;SGP;STD_2025;
DAJU;2025-01-13;SEG;HO;STD_2025;
FW0F;2025-01-13;SEG;HO;STD_2025;
URON;2025-01-13;SEG;F;STD_2025;
FW4D;2025-01-13;SEG;HO;STD_2025;
NSYK;2025-01-13;SEG;B;STD_2025;
RV0N;2025-01-13;SEG;B;STD_2025;
FW1B;2025-01-13;SEG;HO;STD_2025;
M37G;2025-01-13;SEG;O;STD_2025;
F8ZW;2025-01-13;SEG;HO;STD_2025;
URI2;2025-01-13;SEG;HO;STD_2025;
URSS;2025-01-13;SEG;SGP;STD_2025;
FVY9;2025-01-13;SEG;HO;STD_2025;
FVVP;2025-01-13;SEG;HO;STD_2025;
NVPM;2025-01-13;SEG;HO;STD_2025;
GMBD;2025-01-13;SEG;HO;STD_2025;
URFB;2025-01-13;SEG;F;STD_2025;
KAZZ;2025-01-13;SEG;V;STD_2025;
FMKI;2025-01-13;SEG;HO;STD_2025;
RLG3;2025-01-13;SEG;YNT;STD_2025;
F9SG;2025-01-13;SEG;B;STD_2025;
F8ML;2025-01-13;SEG;HO;STD_2025;
URJ1;2025-01-13;SEG;HO;STD_2025;
L1MJ;2025-01-13;SEG;O;STD_2025;
WUYB;2025-01-13;SEG;YNT;STD_2025;
MOP3;2025-01-13;SEG;HO;STD_2025;
N5VI;2025-01-13;SEG;HO;STD_2025;
LPLK;2025-01-13;SEG;HO;STD_2025;
DEZ/25 ???;2025-01-13;SEG;PT;STD_2025;
EKID;2025-01-13;SEG;B;STD_2025;
FW6C;2025-01-13;SEG;HO;STD_2025;
FW9S;2025-01-13;SEG;HO;STD_2025;
WU3X;2025-01-13;SEG;HO;STD_2025;
KEFZ;2025-01-13;SEG;O;STD_2025;
B25O;2025-01-13;SEG;F;STD_2025;
PL7B;2025-01-13;SEG;HO;STD_2025;
URNN;2025-01-13;SEG;HO;STD_2025;
URUG;2025-01-13;SEG;F;STD_2025;
XDDH;2025-01-13;SEG;F;STD_2025;
URVX;2025-01-13;SEG;F;STD_2025;
EK5H;2025-01-14;TER;HO;STD_2025;
UPDJ;2025-01-14;TER;HO;STD_2025;
U4XE;2025-01-14;TER;YNT;STD_2025;
YMOF;2025-01-14;TER;HO;STD_2025;
TFBN;2025-01-14;TER;EM;STD_2025;
U4OB;2025-01-14;TER;YNT;STD_2025;
U4IC;2025-01-14;TER;HO;STD_2025;
CX1A;2025-01-14;TER;F;STD_2025;
URPQ;2025-01-14;TER;HO;STD_2025;
BHQ1;2025-01-14;TER;HO;STD_2025;
U3PE;2025-01-14;TER;F;STD_2025;
URGU;2025-01-14;TER;B;STD_2025;
B5QM;2025-01-14;TER;F;STD_2025;
FMB1;2025-01-14;TER;YNT;STD_2025;
CXLT;2025-01-14;TER;HO;STD_2025;
AJP2;2025-01-14;TER;HO;STD_2025;
D2HS;2025-01-14;TER;B;STD_2025;
JMU9;2025-01-14;TER;HO;STD_2025;
WVY4;2025-01-14;TER;B;STD_2025;
FRCF;2025-01-14;TER;YNT;STD_2025;
YT3I;2025-01-14;TER;HO;STD_2025;
NVBN;2025-01-14;TER;YNT;STD_2025;
B1S8;2025-01-14;TER;EM;STD_2025;
YRAJ;2025-01-14;TER;F;STD_2025;
LNIG;2025-01-14;TER;HO;STD_2025;
SLDR;2025-01-14;TER;HO;STD_2025;
NSAZ;2025-01-14;TER;F;STD_2025;
FRD9;2025-01-14;TER;YNT;STD_2025;
WV8P;2025-01-14;TER;HO;STD_2025;
M37R;2025-01-14;TER;B;STD_2025;
FRA2;2025-01-14;TER;B;STD_2025;
KB1O;2025-01-14;TER;SGP;STD_2025;
UREQ;2025-01-14;TER;F;STD_2025;
BTKP;2025-01-14;TER;YNT;STD_2025;
NS0U;2025-01-14;TER;F;STD_2025;
B1WH;2025-01-14;TER;A;STD_2025;
F8TR;2025-01-14;TER;EM;STD_2025;
U36Q;2025-01-14;TER;YNT;STD_2025;
NA2O;2025-01-14;TER;F;STD_2025;
N7G5;2025-01-14;TER;HO;STD_2025;
F955;2025-01-14;TER;EM;STD_2025;
F941;2025-01-14;TER;HO;STD_2025;
NSZD;2025-01-14;TER;EM;STD_2025;
YRDR;2025-01-14;TER;HO;STD_2025;
FN2K;2025-01-14;TER;HO;STD_2025;
XBWR;2025-01-14;TER;B;STD_2025;
FVXU;2025-01-14;TER;HO;STD_2025;
FW0R;2025-01-14;TER;HO;STD_2025;
WS3M;2025-01-14;TER;F;STD_2025;
DAGD;2025-01-14;TER;B;STD_2025;
F08F;2025-01-14;TER;HO;STD_2025;
F8CK;2025-01-14;TER;SGP;STD_2025;
DAJU;2025-01-14;TER;HO;STD_2025;
FW0F;2025-01-14;TER;HO;STD_2025;
URON;2025-01-14;TER;F;STD_2025;
FW4D;2025-01-14;TER;HO;STD_2025;
NSYK;2025-01-14;TER;B;STD_2025;
RV0N;2025-01-14;TER;B;STD_2025;
FW1B;2025-01-14;TER;HO;STD_2025;
M37G;2025-01-14;TER;O;STD_2025;
F8ZW;2025-01-14;TER;HO;STD_2025;
URI2;2025-01-14;TER;HO;STD_2025;
URSS;2025-01-14;TER;SGP;STD_2025;
FVY9;2025-01-14;TER;HO;STD_2025;
FVVP;2025-01-14;TER;HO;STD_2025;
NVPM;2025-01-14;TER;HO;STD_2025;
GMBD;2025-01-14;TER;HO;STD_2025;
URFB;2025-01-14;TER;F;STD_2025;
KAZZ;2025-01-14;TER;V;STD_2025;
FMKI;2025-01-14;TER;HO;STD_2025;
RLG3;2025-01-14;TER;YNT;STD_2025;
F9SG;2025-01-14;TER;B;STD_2025;
F8ML;2025-01-14;TER;B;STD_2025;
URJ1;2025-01-14;TER;B;STD_2025;
L1MJ;2025-01-14;TER;O;STD_2025;
WUYB;2025-01-14;TER;YNT;STD_2025;
MOP3;2025-01-14;TER;HO;STD_2025;
N5VI;2025-01-14;TER;B;STD_2025;
LPLK;2025-01-14;TER;HO;STD_2025;
DEZ/25 ???;2025-01-14;TER;PT;STD_2025;
EKID;2025-01-14;TER;HO;STD_2025;
FW6C;2025-01-14;TER;B;STD_2025;
FW9S;2025-01-14;TER;B;STD_2025;
WU3X;2025-01-14;TER;B;STD_2025;
KEFZ;2025-01-14;TER;O;STD_2025;
B25O;2025-01-14;TER;F;STD_2025;
PL7B;2025-01-14;TER;HO;STD_2025;
URNN;2025-01-14;TER;V;STD_2025;
URUG;2025-01-14;TER;F;STD_2025;
XDDH;2025-01-14;TER;F;STD_2025;
URVX;2025-01-14;TER;F;STD_2025;
EK5H;2025-01-15;QUA;HO;STD_2025;
UPDJ;2025-01-15;QUA;B;STD_2025;
U4XE;2025-01-15;QUA;YNT;STD_2025;
YMOF;2025-01-15;QUA;B;STD_2025;
TFBN;2025-01-15;QUA;EM;STD_2025;
U4OB;2025-01-15;QUA;YNT;STD_2025;
U4IC;2025-01-15;QUA;HO;STD_2025;
CX1A;2025-01-15;QUA;F;STD_2025;
URPQ;2025-01-15;QUA;B;STD_2025;
BHQ1;2025-01-15;QUA;B;STD_2025;
U3PE;2025-01-15;QUA;F;STD_2025;
URGU;2025-01-15;QUA;B;STD_2025;
B5QM;2025-01-15;QUA;F;STD_2025;
FMB1;2025-01-15;QUA;YNT;STD_2025;
CXLT;2025-01-15;QUA;B;STD_2025;
AJP2;2025-01-15;QUA;HO;STD_2025;
D2HS;2025-01-15;QUA;HO;STD_2025;
JMU9;2025-01-15;QUA;HO;STD_2025;
WVY4;2025-01-15;QUA;HO;STD_2025;
FRCF;2025-01-15;QUA;YNT;STD_2025;
YT3I;2025-01-15;QUA;B;STD_2025;
NVBN;2025-01-15;QUA;YNT;STD_2025;
B1S8;2025-01-15;QUA;EM;STD_2025;
YRAJ;2025-01-15;QUA;F;STD_2025;
LNIG;2025-01-15;QUA;HO;STD_2025;
SLDR;2025-01-15;QUA;B;STD_2025;
